10,9,1,10,10,3,10,13,18,8,11,12,-1,14,14,-1,15,0,0,0,-1
-2,-2,1,2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-3,-3,-3,-3,18,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
18,18,4,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,4,18,18,18,5,18,18,18,18,18,18,18,18,18,18,18,18,18,18
-4,-4,-4,-4,-4,-4,-4,6,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
-5,-5,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
18,18,7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
8,8,8,8,8,8,8,8,8,18,8,8,8,8,8,8,8,-8,8,8,8
18,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,18,10,10,10,18,10,18,18,18,18,18,18,18,18,10,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,16,-9,-9,-9,-9
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,16,16,16,16
